Mean,Median,Mode,Std Dev,Variance,Minimum,25%,50%,75%,Maximum,Missing Values
76.15,73.0,59.0,21.77,474.12,38.6,58.8,73.0,89.5,174.5,0
177.99,170.0,170.0,68.88,4744.21,20.0,125.0,170.0,225.0,475.0,0
101.68,95.0,70.0,45.41,2062.23,20.0,65.0,95.0,130.0,305.0,0
184.4,180.0,150.0,57.66,3325.05,45.0,140.0,180.0,230.0,350.0,0
464.07,450.0,315.0,166.31,27660.65,90.0,330.0,450.0,582.5,1130.0,0
375.47,378.06,365.12,87.82,7713.12,91.09,312.36,378.06,438.04,607.19,0
6.2,6.1,5.42,1.83,3.34,1.29,4.83,6.1,7.49,12.05,0
18.39,15.0,0.0,64.9,4212.37,-595.0,-10.0,15.0,47.5,462.5,2531
2.77,2.0,1.0,2.32,5.36,1.0,1.0,2.0,3.0,25.0,0
442.53,282.0,0.0,717.19,514356.77,0.0,123.0,282.0,461.0,14783.0,2531
