AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH06131,Saikhom Thoibi Devi,1,115.0,123.68,,Dots
ATH06131,Saikhom Thoibi Devi,2,105.0,122.88,-10.0,Dots
ATH02623,Jagannath Rajput,1,195.0,120.99,,Dots
ATH07539,Takhenchangbam Ibemhal Devi,1,100.0,120.14,,Dots
ATH07539,Takhenchangbam Ibemhal Devi,2,100.0,119.99,0.0,Dots
ATH07882,Varghese P J,2,170.0,112.03,-25.0,Dots
ATH07124,Soraishem Ibetombi Devi,1,95.0,108.84,,Dots
ATH00591,Angom Memchoubi Devi,1,110.0,106.39,,Dots
ATH07637,Th Subadani Devi,2,90.0,100.62,0.0,Dots
ATH07636,Th Kunjarani Devi,2,100.0,99.56,-50.0,Dots
ATH07124,Soraishem Ibetombi Devi,2,90.0,97.94,-5.0,Dots
ATH07637,Th Subadani Devi,1,90.0,91.6,,Dots
ATH00591,Angom Memchoubi Devi,2,90.0,91.09,-20.0,Dots
