AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH06060,Sachin,5,805.0,463.88,462.5,TotalImprovement
ATH00152,Abhishek Kumar,3,640.0,433.98,360.0,TotalImprovement
ATH07306,Sumit Jadhav,2,710.0,385.27,355.0,TotalImprovement
ATH00644,Anjali,2,485.0,560.19,355.0,TotalImprovement
ATH04766,Paritesh Pal,5,810.0,440.69,350.0,TotalImprovement
ATH00857,Arun,2,752.5,570.84,335.0,TotalImprovement
ATH04667,P. Nishanth,3,832.5,461.58,335.0,TotalImprovement
ATH05256,R. Dinesh,2,575.0,454.12,332.5,TotalImprovement
ATH06892,Shyaam Sundar R S,2,817.5,471.46,332.5,TotalImprovement
ATH06060,Sachin,7,810.0,468.37,320.0,TotalImprovement
ATH03249,Komal,5,526.0,607.19,313.5,TotalImprovement
ATH02264,Gopi M,2,827.5,502.1,312.5,TotalImprovement
ATH05324,Rahul Joshi,3,795.0,515.79,307.0,TotalImprovement
ATH05376,Raja,2,595.0,432.48,300.0,TotalImprovement
ATH04179,Mukesh Kumar Singh,2,777.5,494.18,299.5,TotalImprovement
ATH05342,Rahul Rohith G S,2,500.0,400.48,292.5,TotalImprovement
ATH02473,Himanshu,3,525.0,416.56,282.5,TotalImprovement
ATH02531,Inderjeet Singh,3,742.5,449.01,282.5,TotalImprovement
ATH06402,Sarath Kumar R,6,767.5,440.66,280.0,TotalImprovement
ATH04896,Poonam,2,487.5,530.53,272.5,TotalImprovement
ATH03417,L. Ruban,2,710.0,429.19,270.0,TotalImprovement
ATH04964,Prakash,2,677.5,460.2,267.5,TotalImprovement
ATH00644,Anjali,4,460.0,560.69,265.0,TotalImprovement
ATH05161,Priyanka,9,490.0,451.95,260.0,TotalImprovement
ATH00669,Ankit,2,527.5,451.47,252.5,TotalImprovement
ATH00994,Asif,2,587.5,444.18,247.5,TotalImprovement
ATH02106,G. Yogesh,3,730.0,440.6,245.0,TotalImprovement
ATH02162,Gaurav Pachori,4,545.0,467.11,245.0,TotalImprovement
ATH00931,Ashish,3,540.0,309.7,240.0,TotalImprovement
ATH05865,Roshan Lal Sharma,2,887.5,509.7,237.5,TotalImprovement
ATH04525,Niraj Kumar,4,535.0,393.12,237.5,TotalImprovement
ATH02277,Gourav Sharma #2,2,793.0,463.41,235.5,TotalImprovement
ATH05090,Preeti,4,365.0,428.19,230.0,TotalImprovement
ATH07721,Tushar Kadam,3,655.0,516.48,225.0,TotalImprovement
ATH05149,Priyabrata Bisoi,2,585.0,362.14,225.0,TotalImprovement
ATH06004,S. Naveen,6,637.5,432.88,225.0,TotalImprovement
ATH05301,Raghav Bhardwaj,2,687.5,414.23,222.5,TotalImprovement
ATH06505,Sayal Kushal,2,717.5,388.89,222.5,TotalImprovement
ATH05921,Ruthra R,2,482.5,493.12,222.5,TotalImprovement
ATH02548,Iqbal Singh,2,697.5,460.59,222.5,TotalImprovement
ATH05863,Roshan Gaonkar,2,685.0,415.22,222.5,TotalImprovement
ATH03322,Kuldeep,2,475.0,409.22,220.0,TotalImprovement
ATH00942,Ashish Yadav,2,590.0,357.52,220.0,TotalImprovement
ATH06004,S. Naveen,2,590.0,403.89,217.5,TotalImprovement
ATH02128,Gajula Bharath,2,637.5,409.27,217.5,TotalImprovement
ATH05090,Preeti,6,460.0,437.15,217.5,TotalImprovement
ATH07962,Vickram Jeet Singh,2,765.0,410.4,215.0,TotalImprovement
ATH07293,Suman Devi,3,375.0,461.43,212.5,TotalImprovement
ATH03482,Lavkush Chaudhary,2,610.0,482.88,207.5,TotalImprovement
ATH01104,B. Anil Kumar,3,645.0,440.44,207.5,TotalImprovement
ATH01936,Dinesh R,2,538.0,429.13,205.5,TotalImprovement
ATH02042,Eshan Talwar,2,595.0,520.08,205.0,TotalImprovement
ATH02560,Ishaan Garg,2,622.5,422.43,205.0,TotalImprovement
ATH06577,Shaik Aleem,2,660.0,422.13,200.0,TotalImprovement
ATH06401,Sarath Krishnan R,2,765.0,487.9,200.0,TotalImprovement
ATH04575,Nitish Kumar #1,3,775.0,474.59,199.5,TotalImprovement
ATH00425,Alwin C B,2,597.5,346.0,197.5,TotalImprovement
ATH03224,Kiran K.P,2,810.0,492.36,197.5,TotalImprovement
ATH02844,Jyoti,5,517.5,482.01,197.5,TotalImprovement
ATH03995,Mihirkumar Tirgar,3,677.5,461.01,197.5,TotalImprovement
ATH05093,Preeti Temghare,2,532.5,492.79,197.5,TotalImprovement
ATH04550,Nishanth P,2,777.5,435.2,195.0,TotalImprovement
ATH02378,Harinder Singh,2,625.0,394.84,195.0,TotalImprovement
ATH01181,Balamurugan N,2,782.5,431.51,195.0,TotalImprovement
ATH01985,Done Murali Krishna,2,633.0,545.25,190.5,TotalImprovement
ATH01725,Deepak #2,2,780.0,458.29,190.0,TotalImprovement
ATH06175,Sakshi Sharma,2,352.5,293.16,187.5,TotalImprovement
ATH02499,Hrittik Maji,2,682.5,434.92,187.5,TotalImprovement
ATH08174,Xavier Vedamani,2,812.5,477.77,187.5,TotalImprovement
ATH04417,Neelam Dangi,2,410.0,393.46,187.5,TotalImprovement
ATH03473,Lav Mali,2,577.5,429.17,185.0,TotalImprovement
ATH02685,Jaspreet Singh,4,672.5,483.29,185.0,TotalImprovement
ATH02479,Himanshu Kure,2,517.5,334.24,182.5,TotalImprovement
ATH00941,Ashish Upadhyay,2,605.0,415.95,182.5,TotalImprovement
ATH00162,Abhishek Sharma,2,695.0,470.02,180.0,TotalImprovement
ATH00186,Adarsh Bharath Attavar,3,610.0,525.07,180.0,TotalImprovement
ATH00670,Ankit Chouhan,2,740.0,446.53,180.0,TotalImprovement
ATH06113,Sahil Sofat,2,622.5,413.43,180.0,TotalImprovement
