AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH00463,Amanpreet Singh #2,6,1130.0,590.57,27.5,TotalKg
ATH00463,Amanpreet Singh #2,5,1102.5,576.92,50.0,TotalKg
ATH00141,Abhishek B. Horkeri,10,1062.5,563.78,32.5,TotalKg
ATH00463,Amanpreet Singh #2,4,1052.5,557.23,37.5,TotalKg
ATH00141,Abhishek B. Horkeri,9,1030.0,543.01,130.0,TotalKg
ATH00463,Amanpreet Singh #2,3,1015.0,540.8,12.5,TotalKg
ATH00463,Amanpreet Singh #2,1,1010.0,541.08,,TotalKg
ATH00463,Amanpreet Singh #2,2,1002.5,534.42,-7.5,TotalKg
ATH00592,Angrej Singh,5,1000.0,583.43,52.5,TotalKg
ATH00592,Angrej Singh,3,975.0,572.49,100.0,TotalKg
ATH00494,Amit Yadav,2,973.0,587.15,47.0,TotalKg
